game_id,round_in_game,round_overall,move_a,move_b,move_a_name,move_b_name,outcome
187,5,1188,x,x,Scissors,Scissors,Tie
187,6,1189,s,p,Rock,Paper,B_win
188,1,1190,s,x,Rock,Scissors,A_win
188,2,1191,s,p,Rock,Paper,B_win
188,3,1192,x,s,Scissors,Rock,B_win
188,4,1193,s,p,Rock,Paper,B_win
189,1,1194,x,p,Scissors,Paper,A_win
189,2,1195,s,s,Rock,Rock,Tie
189,3,1196,p,x,Paper,Scissors,B_win
189,4,1197,s,s,Rock,Rock,Tie
189,5,1198,s,s,Rock,Rock,Tie
189,6,1199,s,x,Rock,Scissors,A_win
189,7,1200,p,p,Paper,Paper,Tie
189,8,1201,p,s,Paper,Rock,A_win
190,1,1202,x,s,Scissors,Rock,B_win
190,2,1203,p,s,Paper,Rock,A_win
190,3,1204,x,x,Scissors,Scissors,Tie
190,4,1205,s,p,Rock,Paper,B_win
190,5,1206,x,x,Scissors,Scissors,Tie
190,6,1207,p,p,Paper,Paper,Tie
190,7,1208,x,x,Scissors,Scissors,Tie
190,8,1209,p,p,Paper,Paper,Tie
190,9,1210,s,s,Rock,Rock,Tie
190,10,1211,x,p,Scissors,Paper,A_win
190,11,1212,p,x,Paper,Scissors,B_win
191,1,1213,x,s,Scissors,Rock,B_win
191,2,1214,p,x,Paper,Scissors,B_win
191,3,1215,p,s,Paper,Rock,A_win
191,4,1216,x,x,Scissors,Scissors,Tie
191,5,1217,s,x,Rock,Scissors,A_win
191,6,1218,p,p,Paper,Paper,Tie
191,7,1219,s,x,Rock,Scissors,A_win
192,1,1220,x,x,Scissors,Scissors,Tie
192,2,1221,s,p,Rock,Paper,B_win
192,3,1222,p,s,Paper,Rock,A_win
192,4,1223,p,s,Paper,Rock,A_win
192,5,1224,x,x,Scissors,Scissors,Tie
192,6,1225,x,x,Scissors,Scissors,Tie
192,7,1226,p,x,Paper,Scissors,B_win
192,8,1227,p,s,Paper,Rock,A_win
193,1,1228,x,x,Scissors,Scissors,Tie
193,2,1229,p,p,Paper,Paper,Tie
193,3,1230,s,x,Rock,Scissors,A_win
193,4,1231,x,p,Scissors,Paper,A_win
193,5,1232,x,x,Scissors,Scissors,Tie
193,6,1233,p,s,Paper,Rock,A_win
194,1,1234,s,x,Rock,Scissors,A_win
194,2,1235,x,s,Scissors,Rock,B_win
194,3,1236,p,s,Paper,Rock,A_win
194,4,1237,s,x,Rock,Scissors,A_win
195,1,1238,p,x,Paper,Scissors,B_win
195,2,1239,x,p,Scissors,Paper,A_win
195,3,1240,p,s,Paper,Rock,A_win
195,4,1241,s,x,Rock,Scissors,A_win
196,1,1242,s,x,Rock,Scissors,A_win
196,2,1243,s,s,Rock,Rock,Tie
196,3,1244,s,x,Rock,Scissors,A_win
196,4,1245,s,p,Rock,Paper,B_win
196,5,1246,s,p,Rock,Paper,B_win
196,6,1247,s,p,Rock,Paper,B_win
197,1,1248,x,s,Scissors,Rock,B_win
197,2,1249,s,p,Rock,Paper,B_win
197,3,1250,s,x,Rock,Scissors,A_win
197,4,1251,s,p,Rock,Paper,B_win
198,1,1252,s,x,Rock,Scissors,A_win
198,2,1253,p,s,Paper,Rock,A_win
198,3,1254,x,x,Scissors,Scissors,Tie
198,4,1255,p,p,Paper,Paper,Tie
198,5,1256,x,p,Scissors,Paper,A_win
199,1,1257,s,p,Rock,Paper,B_win
199,2,1258,x,x,Scissors,Scissors,Tie
199,3,1259,p,x,Paper,Scissors,B_win
199,4,1260,x,p,Scissors,Paper,A_win
199,5,1261,p,x,Paper,Scissors,B_win
200,1,1262,p,x,Paper,Scissors,B_win
200,2,1263,s,x,Rock,Scissors,A_win
200,3,1264,s,p,Rock,Paper,B_win
200,4,1265,x,x,Scissors,Scissors,Tie
200,5,1266,s,p,Rock,Paper,B_win
201,1,1267,x,x,Scissors,Scissors,Tie
201,2,1268,x,p,Scissors,Paper,A_win
201,3,1269,s,p,Rock,Paper,B_win
201,4,1270,p,s,Paper,Rock,A_win
201,5,1271,p,x,Paper,Scissors,B_win
201,6,1272,p,p,Paper,Paper,Tie
201,7,1273,p,p,Paper,Paper,Tie
201,8,1274,s,x,Rock,Scissors,A_win
202,1,1275,x,s,Scissors,Rock,B_win
202,2,1276,x,x,Scissors,Scissors,Tie
202,3,1277,p,p,Paper,Paper,Tie
202,4,1278,s,s,Rock,Rock,Tie
202,5,1279,s,s,Rock,Rock,Tie
202,6,1280,x,s,Scissors,Rock,B_win
203,1,1281,x,s,Scissors,Rock,B_win
203,2,1282,x,p,Scissors,Paper,A_win
203,3,1283,x,x,Scissors,Scissors,Tie
203,4,1284,p,x,Paper,Scissors,B_win
203,5,1285,s,p,Rock,Paper,B_win
204,1,1286,x,s,Scissors,Rock,B_win
204,2,1287,x,p,Scissors,Paper,A_win
204,3,1288,p,x,Paper,Scissors,B_win
204,4,1289,s,s,Rock,Rock,Tie
204,5,1290,s,x,Rock,Scissors,A_win
204,6,1291,s,x,Rock,Scissors,A_win
205,1,1292,x,p,Scissors,Paper,A_win
205,2,1293,x,p,Scissors,Paper,A_win
205,3,1294,s,s,Rock,Rock,Tie
205,4,1295,x,p,Scissors,Paper,A_win
206,1,1296,p,s,Paper,Rock,A_win
206,2,1297,s,s,Rock,Rock,Tie
206,3,1298,s,x,Rock,Scissors,A_win
206,4,1299,p,s,Paper,Rock,A_win
207,1,1300,x,s,Scissors,Rock,B_win
207,2,1301,s,p,Rock,Paper,B_win
207,3,1302,p,s,Paper,Rock,A_win
207,4,1303,s,p,Rock,Paper,B_win
208,1,1304,s,s,Rock,Rock,Tie
208,2,1305,s,p,Rock,Paper,B_win
208,3,1306,s,x,Rock,Scissors,A_win
208,4,1307,p,p,Paper,Paper,Tie
208,5,1308,s,s,Rock,Rock,Tie
208,6,1309,p,p,Paper,Paper,Tie
208,7,1310,x,x,Scissors,Scissors,Tie
208,8,1311,s,p,Rock,Paper,B_win
208,9,1312,s,x,Rock,Scissors,A_win
208,10,1313,p,s,Paper,Rock,A_win
209,1,1314,p,s,Paper,Rock,A_win
209,2,1315,x,s,Scissors,Rock,B_win
209,3,1316,s,s,Rock,Rock,Tie
209,4,1317,s,x,Rock,Scissors,A_win
209,5,1318,x,s,Scissors,Rock,B_win
209,6,1319,s,p,Rock,Paper,B_win
210,1,1320,x,x,Scissors,Scissors,Tie
210,2,1321,p,x,Paper,Scissors,B_win
210,3,1322,x,s,Scissors,Rock,B_win
210,4,1323,s,p,Rock,Paper,B_win
211,1,1324,x,s,Scissors,Rock,B_win
211,2,1325,p,p,Paper,Paper,Tie
211,3,1326,s,s,Rock,Rock,Tie
211,4,1327,p,x,Paper,Scissors,B_win
211,5,1328,x,s,Scissors,Rock,B_win
212,1,1329,x,s,Scissors,Rock,B_win
212,2,1330,s,p,Rock,Paper,B_win
212,3,1331,s,x,Rock,Scissors,A_win
212,4,1332,s,p,Rock,Paper,B_win
213,1,1333,p,s,Paper,Rock,A_win
213,2,1334,x,x,Scissors,Scissors,Tie
213,3,1335,x,x,Scissors,Scissors,Tie
213,4,1336,s,p,Rock,Paper,B_win
213,5,1337,p,s,Paper,Rock,A_win
213,6,1338,x,p,Scissors,Paper,A_win
214,1,1339,p,s,Paper,Rock,A_win
214,2,1340,s,s,Rock,Rock,Tie
214,3,1341,p,p,Paper,Paper,Tie
214,4,1342,s,x,Rock,Scissors,A_win
215,1,1343,s,x,Rock,Scissors,A_win
215,2,1344,p,p,Paper,Paper,Tie
215,3,1345,s,p,Rock,Paper,B_win
215,4,1346,x,p,Scissors,Paper,A_win
215,5,1347,p,x,Paper,Scissors,B_win
215,6,1348,s,p,Rock,Paper,B_win
216,1,1349,x,p,Scissors,Paper,A_win
216,2,1350,s,s,Rock,Rock,Tie
216,3,1351,s,p,Rock,Paper,B_win
216,4,1352,x,s,Scissors,Rock,B_win
217,1,1353,x,p,Scissors,Paper,A_win
217,2,1354,s,p,Rock,Paper,B_win
217,3,1355,x,s,Scissors,Rock,B_win
217,4,1356,x,x,Scissors,Scissors,Tie
217,5,1357,s,x,Rock,Scissors,A_win
217,6,1358,x,p,Scissors,Paper,A_win
218,1,1359,x,x,Scissors,Scissors,Tie
218,2,1360,s,x,Rock,Scissors,A_win
218,3,1361,p,p,Paper,Paper,Tie
218,4,1362,s,s,Rock,Rock,Tie
218,5,1363,p,s,Paper,Rock,A_win
218,6,1364,s,x,Rock,Scissors,A_win
219,1,1365,x,s,Scissors,Rock,B_win
219,2,1366,s,p,Rock,Paper,B_win
219,3,1367,s,p,Rock,Paper,B_win
220,1,1368,p,s,Paper,Rock,A_win
220,2,1369,x,x,Scissors,Scissors,Tie
220,3,1370,p,p,Paper,Paper,Tie
220,4,1371,s,s,Rock,Rock,Tie
220,5,1372,x,p,Scissors,Paper,A_win
220,6,1373,s,x,Rock,Scissors,A_win
220,7,1374,p,x,Paper,Scissors,B_win
220,8,1375,x,x,Scissors,Scissors,Tie
220,9,1376,s,s,Rock,Rock,Tie
220,10,1377,s,p,Rock,Paper,B_win
220,11,1378,x,x,Scissors,Scissors,Tie
220,12,1379,p,s,Paper,Rock,A_win
221,1,1380,s,x,Rock,Scissors,A_win
221,2,1381,s,s,Rock,Rock,Tie
221,3,1382,p,p,Paper,Paper,Tie
221,4,1383,s,x,Rock,Scissors,A_win
221,5,1384,p,p,Paper,Paper,Tie
221,6,1385,x,s,Scissors,Rock,B_win
221,7,1386,p,p,Paper,Paper,Tie
221,8,1387,x,x,Scissors,Scissors,Tie
221,9,1388,s,p,Rock,Paper,B_win
221,10,1389,x,p,Scissors,Paper,A_win
222,1,1390,x,s,Scissors,Rock,B_win
222,2,1391,s,x,Rock,Scissors,A_win
222,3,1392,p,s,Paper,Rock,A_win
222,4,1393,x,x,Scissors,Scissors,Tie
222,5,1394,s,p,Rock,Paper,B_win
222,6,1395,s,s,Rock,Rock,Tie
222,7,1396,x,p,Scissors,Paper,A_win
223,1,1397,x,p,Scissors,Paper,A_win
223,2,1398,x,x,Scissors,Scissors,Tie
223,3,1399,p,s,Paper,Rock,A_win
223,4,1400,x,p,Scissors,Paper,A_win
224,1,1401,s,s,Rock,Rock,Tie
224,2,1402,s,p,Rock,Paper,B_win
224,3,1403,x,s,Scissors,Rock,B_win
224,4,1404,s,p,Rock,Paper,B_win
225,1,1405,p,x,Paper,Scissors,B_win
225,2,1406,x,x,Scissors,Scissors,Tie
225,3,1407,p,x,Paper,Scissors,B_win
225,4,1408,x,s,Scissors,Rock,B_win
226,1,1409,p,s,Paper,Rock,A_win
226,2,1410,p,x,Paper,Scissors,B_win
226,3,1411,s,x,Rock,Scissors,A_win
226,4,1412,s,s,Rock,Rock,Tie
226,5,1413,x,x,Scissors,Scissors,Tie
226,6,1414,p,p,Paper,Paper,Tie
226,7,1415,x,x,Scissors,Scissors,Tie
226,8,1416,s,s,Rock,Rock,Tie
226,9,1417,p,s,Paper,Rock,A_win
227,1,1418,s,x,Rock,Scissors,A_win
227,2,1419,x,x,Scissors,Scissors,Tie
227,3,1420,s,s,Rock,Rock,Tie
227,4,1421,x,x,Scissors,Scissors,Tie
227,5,1422,p,p,Paper,Paper,Tie
227,6,1423,p,p,Paper,Paper,Tie
227,7,1424,s,x,Rock,Scissors,A_win
227,8,1425,p,s,Paper,Rock,A_win
227,9,1426,x,p,Scissors,Paper,A_win
228,1,1427,x,x,Scissors,Scissors,Tie
228,2,1428,p,p,Paper,Paper,Tie
228,3,1429,x,x,Scissors,Scissors,Tie
228,4,1430,p,p,Paper,Paper,Tie
228,5,1431,s,x,Rock,Scissors,A_win
228,6,1432,x,x,Scissors,Scissors,Tie
228,7,1433,p,s,Paper,Rock,A_win
228,8,1434,x,p,Scissors,Paper,A_win
229,1,1435,p,s,Paper,Rock,A_win
229,2,1436,x,p,Scissors,Paper,A_win
229,3,1437,p,s,Paper,Rock,A_win
230,1,1438,s,x,Rock,Scissors,A_win
230,2,1439,p,s,Paper,Rock,A_win
230,3,1440,s,s,Rock,Rock,Tie
230,4,1441,x,s,Scissors,Rock,B_win
230,5,1442,s,x,Rock,Scissors,A_win
231,1,1443,s,s,Rock,Rock,Tie
231,2,1444,s,s,Rock,Rock,Tie
231,3,1445,s,s,Rock,Rock,Tie
231,4,1446,s,p,Rock,Paper,B_win
231,5,1447,x,s,Scissors,Rock,B_win
231,6,1448,x,s,Scissors,Rock,B_win
232,1,1449,x,x,Scissors,Scissors,Tie
232,2,1450,x,p,Scissors,Paper,A_win
232,3,1451,p,x,Paper,Scissors,B_win
